Vehiculo,Crecimiento
AUT_GAS,1.2685298779102956
AUT_GNV,1.2077993684516137
CC_GAS,1.2810061746444552
CC_DSEL,1.5190418960939691
CC_GNV,1.199978237340476
TX_GAS,1.110044383877422
TX_GNV,1.0483316544453094
MB_DSEL,1.0
BT_DSEL,0.8656480505795574
B_DSEL,0.9419540229885057
AL_DSEL,1.0
AT_DSEL,1.0727146814404431
BA_DSEL,2.5555555555555554
ESP_GAS,1.0
ESP_DSEL,1.0
ESP_GNV,1.0
INT_DSEL,1.0
INT_GAS,1.0
INT_GNV,1.0
C2P_DSEL,1.2495204375573215
C2P_GAS,1.2647822841803515
C2P_GNV,1.1120442631197522
C2G_DSEL,1.179866272920205
C2G_GAS,1.2647822841803515
C2G_GNV,1.1120442631197522
C3-C4_DSEL,1.0
C3-C4_GAS,1.2647822841803515
C3-C4_GNV,1.1120442631197522
C5_DSEL,1.0
C5_GAS,1.2647822841803515
C5_GNV,1.1120442631197522
>C5_DSEL,1.0
>C5_GAS,1.2647822841803515
>C5_GNV,1.1120442631197522
M_GAS,1.2588547531716898
